,DCU,Maynooth U,TU Dublin,Letterkeny,National College of Ireland,TCD,AIT,Dundalk,Waterford,Cork IT,DIT,Blanchardstown,Carlow IT,Galway Mayo,Tallaght,National College of Art & Design,IADT,LIT,UL,Sligo,NUIG,Mary Immaculate College,Total sitting Leaving Cert,Year,Total of main colleges,School,Roll Number
0,0.0,1.0,1.0,2.0,0.0,1.0,3.0,0.0,1.0,2.0,1.0,1.0,3.0,5.0,2.0,0.0,1.0,1.0,2.0,4.0,0.0,1.0,48.0,2013,26.0,colaiste-pobail-acla,76150v
0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,2013,2.0,colaiste-chomain,72140V
0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,14.0,0.0,1.0,38.0,2013,28.0,st.-tiernans-college,72100J
0,0.0,1.0,1.0,3.0,0.0,1.0,4.0,0.0,1.0,2.0,2.0,1.0,1.0,22.0,1.0,0.0,1.0,5.0,10.0,17.0,0.0,3.0,109.0,2013,85.0,ballyhaunis-community-school,91461C
0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,2013,2.0,carrowbeg-college,72160E
0,0.0,2.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,31.0,2013,31.0,coláiste-mhuire,64691Q
0,0.0,1.0,2.0,2.0,0.0,4.0,3.0,1.0,1.0,0.0,3.0,1.0,2.0,17.0,0.0,1.0,1.0,1.0,3.0,10.0,0.0,2.0,62.0,2013,74.0,st-louis-community-school,91494R
0,0.0,2.0,5.0,2.0,1.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0,0.0,8.0,0.0,0.0,2.0,2.0,5.0,6.0,0.0,3.0,78.0,2013,76.0,sacred-heart-school,64710R
0,0.0,3.0,2.0,1.0,0.0,2.0,1.0,1.0,3.0,1.0,2.0,0.0,2.0,16.0,0.0,1.0,1.0,3.0,4.0,1.0,0.0,2.0,83.0,2013,53.0,davitt-college,76060U
0,0.0,29.0,23.0,0.0,1.0,8.0,1.0,2.0,1.0,1.0,27.0,9.0,2.0,1.0,11.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,118.0,2013,107.0,salesian-college,61661P
0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,29.0,2013,7.0,curragh-post-primary-school,70660O
